نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة,الرياض, حي الياسمين ,شرقية,3,1,2,129,True,False,False,علوي,11,False,850000
شقة,الرياض, حي النرجس ,جنوبية,2,2,3,159,True,False,True,3,0,False,850000
شقة,الرياض, حي الندى ,جنوبية,3,2,3,134,True,False,True,3,0,False,1049000
شقة,الرياض, حي النرجس ,ثلاث شوارع,2,1,3,131,True,True,True,أرضي,0,False,1127500
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,147,True,False,False,علوي,0,False,1250000
شقة,الرياض, حي العارض ,شمالية,2,1,3,104,True,False,True,غير معروف,0,False,790000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,216,False,False,False,غير معروف,4,False,1700000
شقة,الرياض, حي الربيع ,جنوبية,3,2,3,264,True,False,True,3,0,False,1800000
شقة,الرياض, حي العارض ,غربية,4,1,3,160,True,True,True,علوي,0,False,990000
شقة,الرياض, حي الملقا ,شمالية,3,1,3,137,False,True,False,ثاني,3,False,1300000
شقة,الرياض, ,شمالية,4,1,4,160,True,False,False,غير معروف,0,False,1380000
شقة,الرياض, الرياض ,شمالية,3,1,2,130,True,False,False,أرضي,10,False,750000
شقة,الرياض, حي العارض ,جنوبية,4,1,3,240,True,True,True,غير معروف,0,False,1300000
شقة,الرياض, حي القيروان ,جنوبية,2,1,2,121,True,False,True,أرضي,3,False,800000
شقة,الرياض, الرياض ,غربية,4,1,4,163,True,True,True,علوي,1,False,1250000
شقة,الرياض, حي النرجس ,غير معروف,3,1,2,137,True,False,True,غير معروف,0,False,995000
شقة,الرياض, حي النرجس ,شمالية,4,1,4,189,True,False,True,علوي,0,False,1590000
شقة,الرياض, حي العارض ,جنوبية,2,2,2,203,True,True,True,3,0,False,850000
شقة,الرياض, حي النرجس ,شمالية,3,2,2,125,True,False,True,أرضي,5,True,850000
شقة,الرياض, حي المغرزات ,غربية,3,1,3,168,True,True,True,3,0,False,1130000
شقة,الرياض, حي القيروان ,غير معروف,3,1,3,228,True,False,True,3,0,True,1850000
شقة,الرياض, حي الملقا ,شمالية,3,1,2,139,False,False,False,ارضي,11,False,800000
شقة,الرياض, حي القيروان ,شمالية,3,2,3,167,True,False,True,أرضي,2,False,1000000
شقة,الرياض, الرياض ,شمالية شرقية,3,1,3,139,True,True,True,3,8,False,800000
